X,Y
25.56,442.49
19.69,456.55
31.37,431.03
14.17,471.42
15.6,463.34
25.3,433.97
7.09,487
6.07,480.19
9.86,479.56
14.73,470.03
31.32,429.57
6.14,489.26
27.92,435.62
25.63,443.84
16.37,463.76
28.31,447.26
24.44,430.3
11.33,475.01
23.87,445.11
21.14,450.35
22.24,446.14
23.07,439.04
25.95,438.46
16.44,468.57
20.66,461.55
15.01,468.02
20.51,447.18
24.1,444.69
9.38,474.1
27.49,428.27
32.84,425.18
20.83,460.6
28.69,436.21
9.35,476.25
17.37,461.08
14.84,460.3
27.88,435.04
17.83,453.86
7.64,484.78
25.67,440.48
23.1,452.17
27.13,434.47
26.95,436.8
19.4,459.76
13.5,468.85
11.97,468.81
18.11,454.29
24.1,442.8
20.29,445.52
21.82,447.43
29.45,437.31
10.87,477.03
17.36,456.57
24.97,440.03
13.72,466.24
26.49,440.21
8.25,475.17
12.8,466.95
17.08,457.81
31.4,433.34
8.26,485.19
21.22,450.96
26.1,446.05
19.91,449.23
14.56,469.31
10.22,479.01
29.12,432.46
16.97,458.59
26.19,440.13
23.65,442.9
29.53,432.43
19.69,455.07
33.71,431.99
32.14,439.22
29.28,433.14
7.01,483.95
30.47,427.94
29.13,435.61
11.86,478.29
26.16,453.08
10.56,463.14
8.58,480.96
14.26,460.38
23.48,437.19
5.54,478.02
16.98,456.07
30.08,434.01
10.63,476.99
30.36,435.31
29.56,432.85
19.94,453.8
27.55,431.33
31.44,431.69
25.35,435.66
4.11,488.05
30.59,429.13
14.04,464.09
15.47,465.61
8.67,479.23
10.53,472.32
7.99,487.57
22.29,449.08
9.06,477.38
10.05,474.16
20.07,454.25
30.65,429.85
14.38,462.98
27.76,434.04
16.7,470.84
5.35,488.65
11.57,473.94
30.57,437.42
16,457.12
15.6,457.49
22.12,443.41
21.33,445.27
23.65,436.74
6.8,487.33
31.35,434.43
23.99,437.14
26.53,439.96
31.59,442.58
24.06,436.88
27.28,441.94
23.69,438.62
11.46,470.55
22.61,441.76
21.84,450.88
9.2,482.89
17.75,454.41
7.53,479.15
16.76,458.67
22.69,446.91
11.91,466.52
26.63,444.16
6.72,489.09
9.44,475.01
18.32,471.43
18.31,455.24
26.57,445.49
34.33,430.56
14.85,471.78
29.33,443.15
8.77,475
11.35,474.22
21.38,445.71
4.88,491.29
26.66,437.87
13.04,467.44
29.47,437.14
18.91,448.24
24.86,447.2
9.42,478.12
12.75,465.44
21.32,445.65
24.26,437.4
20.01,455.66
21.35,445.83
17.43,449.36
27.86,436.26
20.74,452.99
27.73,431.72
9.53,481.83
28.5,433.08
21.39,446.87
14.54,463.03
28.01,440.77
30.51,430.91
21.63,445.93
26.39,430.34
13.84,462.46
17.27,460.08
21.89,441.76
24.02,449.66
31.92,436.38
12.97,452.07
15.89,467.35
9.25,473.87
15.99,460.7
9.06,479.53
14.48,467.46
27.15,440.27
21.68,454.32
28.16,442.48
34.33,435.76
31.98,439.56
15.21,467
13.56,462.6
10.32,472.16
22.46,448.46
29.3,434.11
22.3,449.74
21.91,439.29
10.95,473.2
24.96,437.62
5.91,491.49
5.25,495.23
21.47,442.75
10.16,480.74
17.29,461.38
17.46,461.74
11.56,489.54
7.51,477.61
17.08,461.49
9.27,474.93
21.3,447.89
8.51,481.02
12.77,470.68
25.04,440.92
21.83,453.38
15.92,458.68
29.97,433.82
9.8,473.72
9.01,482.37
24.71,443.39
20.57,449.93
24.32,443.31
21.41,443.63
27.09,438.9
23.49,446.72
20,449.68
13.4,461.54
23.6,451.97
21.03,444.53
5.15,479.61
17.16,453.76
24.59,430.28
23.05,442.39
10.48,474.57
15.72,466.33
25.56,433.72
13.78,460.44
29.35,445.04
32.09,432.85
25.16,439.37
14.63,457.09
5.7,488.8
28.15,433.63
22.3,445.1
27.71,433.01
23.09,453.45
19.66,454.46
10.02,473.09
23.97,441.53
7.82,479.15
30.21,438.18
24.12,443.3
21.05,447.45
13.93,469.25
9.68,476.67
17.48,460.01
28.76,432.3
19.21,454.01
25.63,436.64
20.36,450.23
15.34,458.55
9.55,481.08
13.45,460.57
10.8,478.24
28.15,431.83
15.42,469.33
33.6,428.62
30.92,434.12
25.24,442.77
13.6,467.42
18.68,447.8
22.43,436.19
23.37,441.56
19.62,463.33
14.35,470.53
24.88,447.28
20.67,450.7
34.11,432.78
19.15,451.09
24.96,438.23
18.86,457.07
25.1,438.44
10.15,473.43
26.53,437.39
26.05,450.86
25.45,435.12
8.14,477.05
31.95,432.6
30.8,432.43
7.69,486.46
15.3,468.14
27.12,429.08
25.76,443.7
10.28,477.65
30.91,433.84
24.22,442.65
5.67,478.44
22.96,447.18
24.54,446.26
11.32,472.67
15.15,461.6
23.53,443.71
29.08,430.16
20.42,447.85
26.32,441.25
21.89,448.47
9.68,473.31
16.73,460.54
7.8,482.31
23.29,447.67
28.93,434.45
16.75,464.87
21.47,446.33
25.98,439
16.34,466.24
25.23,445.92
12.41,472.06
24.2,439.13
7.51,485.58
31.53,431.84
17.42,456.57
6.92,483.83
8.34,483.14
32.07,429.31
27.18,443.87
9.24,476.9
13.48,464.58
22.74,445.56
28.62,428.08
25.11,434.97
11.47,475.72
29.51,431.18
15.24,469.79
22.71,444
13.98,467.97
17.89,451.79
12.81,475.5
15.54,467.1
20.21,454.23
6.17,483.77
26.42,438.5
14.6,465.24
29.53,431.69
12.95,469.15
13.26,472.14
23.48,437.44
10.16,477.27
29.13,439.31
10.8,479.32
25.21,445.84
20.72,449.76
26.17,444.96
17.48,457.15
29.67,429.28
26.38,431.66
12.08,477.8
25.3,440.86
16.55,465.29
13.18,467
21.34,452
20.06,448.51
8.26,474.72
8.51,482.39
8.83,478.45
14.52,466.88
7.87,485.61
7.14,487.71
7.49,483.26
11.01,476.69
20.74,450.4
30.98,439.39
26.67,439.13
28.24,434.01
11.98,472.43
30.91,435.7
23.23,441.5
30.13,434.14
20.79,450.3
14.38,464.27
10.07,470.99
10.48,481.41
6.86,490.23
13.25,457.64
26.92,437.35
12.76,474.03
30.2,428.72
10.72,478.29
17.39,454.06
30.97,425.35
28.16,430.46
28.84,435.75
24.48,452.82
11.23,475.04
13.52,464.07
16.61,455.86
20.96,448.77
32.15,429.86
21.24,447.03
26.49,434.91
24.01,443.81
33.15,430.15
20.13,460.09
21.41,452.8
31.35,432.19
27.44,442.19
25.21,439.01
32.06,432.92
25.04,449.45
13.31,468.74
29.68,441.79
13.46,474.6
18.77,454.53
13.56,470.38
20.65,456.49
26.5,440.15
23.67,435.94
8.64,481.89
20.2,454.09
5.04,484.42
23.59,440.61
17.47,456.97
6.02,481.92
30.05,437.55
29.23,428.87
26.03,445.89
26.38,457.81
5.66,485.18
27.65,440.94
17.88,456.77
11.2,472.2
20.94,455.16
20.64,454.2
19.21,452.84
13.22,471.43
33.6,430.32
27.83,443.85
21.11,449.16
30.47,434.68
15.48,463.67
20.25,462.44
15.87,460.59
22.57,444.69
12.67,463.68
21.41,448.11
30.86,433.71
23.64,447.86
5.52,478.98
11.06,479.13
24.41,439.51
10.28,478.34
14.67,458.8
25.15,440.1
21.5,460.2
7.74,475.23
21.31,459.84
29.92,444.78
4.15,489.8
15.95,465.35
25.01,434.74
27.17,431.73
28.14,436.53
13.93,469.25
25.83,434.45
24.4,447.73
26.35,435.23
30.99,437.46
25.82,440.8
28.37,439.25
29.28,426.53
18.35,458.41
16.69,466.03
9.59,474.74
10.11,479.83
17.37,456.4
20.92,455.32
22.82,449.34
23.55,449.54
30.47,444.39
13.16,475.87
6.25,483.43
16.98,458.93
27.5,430.9
24.39,446.4
14.69,462.63
26.31,434.53
14.85,454.62
21.95,442.84
31.91,425.28
16.2,451.86
27.35,431.72
8.73,476.42
14.13,467.08
13.18,469.35
10.74,466.77
6.28,487.17
6.04,481.37
16.78,450.02
14.99,466.85
26.26,440.92
32.09,434.64
22.88,442.5
21.95,443.93
26.65,440.26
12.57,473.67
15.67,466.45
27.97,432.18
13.76,463.5
26.91,434.24
25.18,432.88
23.27,452.26
23.2,438.64
18.55,450.23
7.23,483.31
7.3,485.1
13.93,470.84
20.33,450.25
32.2,432.52
13.16,465.6
27.26,429.92
12.45,474.27
12.04,472.7
28.12,435.46
27.21,436.47
26.97,443.75
26.99,430.81
21.25,444.98
30.33,435.53
15.37,463.35
25.8,450.48
24.97,447.83
15.98,467.22
24.82,438.69
21.32,452.75
8.28,486.4
27.22,441.22
26.94,449.1
18.86,452
9.61,473.54
26.2,440.07
12.31,468.29
16.48,458.67
14.07,468.87
25.19,438.73
15.41,472.28
13.16,469.06
18.63,453.79
16.94,460.64
14.85,462.67
24.56,444.34
23.13,437.67
26.84,427.2
9.36,474.68
30.19,438.41
14.78,471.17
18.6,446.98
7.19,483.04
29.15,432.26
15.23,464.02
9.19,468.37
16.38,459.87
18.23,455.53
24.62,435.88
5.72,490.76
23.19,442.45
13.21,475.86
9.77,477.51
30.82,439.16
23.63,445.51
24.66,449.11
8.83,474.51
14.79,462.55
3.69,490.78
24.03,438.08
13.23,462.21
25.79,440.75
25.72,437.72
11.8,476.12
16.52,469.13
23.51,446.58
25.25,444.05
19.82,455.5
11.73,472.04
27.96,435.93
25.59,432.49
22.61,441.2
23.03,447.84
26.38,442.13
31.52,435.31
20.36,454.25
13.55,464.33
25.44,441.77
11.09,464.81
25.36,439.73
30.68,435.4
25.48,443.77
29.79,440.27
8.37,482.31
8.49,483.62
26.85,431.16
29.34,428.24
21.11,453.28
21.12,454.65
15.03,467.61
23.74,449.48
32.96,435.56
20.23,457.57
22.46,445.9
11.54,482.34
24.62,448.58
10.12,475.46
15.67,463.17
21.96,446.56
11.82,476.97
19.8,446.66
22.32,446.62
19.75,446.63
25.48,447.85
14.84,466.2
21.38,449.66
18.67,454.47
26.27,438.82
27.23,443.61
20.87,446.7
19.4,457.17
21.97,447.05
17.16,461.58
13.62,464.79
13.9,466.24
9.45,483.66
23.66,447.06
26.91,445.31
23.04,437.65
26.93,437.76
24.59,438.09
34.63,428.54
20.48,455.51
26.55,438.95
10.74,477.32
12.28,475.08
10.8,475.51
26.26,430.79
24.9,427.77
28.41,439.2
22.72,448.56
33.4,432.44
26.35,447.26
24.58,442.47
12.76,466.15
9.64,478.37
10.91,469.53
12.27,473.84
28.4,442.23
11.04,474.45
20.75,448.58
21.31,440.97
25.4,445.82
25.95,443.88
27.44,441.08
18.42,452.1
17.48,455.35
13.87,462.46
10.06,476.92
23.21,442.47
21.44,448.84
26.73,440.45
30.96,437.61
14.6,464.88
20.28,447.26
15.47,467.96
11.71,471.49
25.77,433.46
18.13,454.85
11.2,473.33
9.78,477.22
23.85,441.66
16.7,457.74
28.41,440.52
29.64,440.74
24.39,438.2
32.39,431.17
31.56,430.11
17.72,457.44
30.85,430.8
13.19,469.62
33.79,435.1
13.99,472.55
24.78,443.62
17.82,453.83
24.9,433.71
11.46,475.33
28.68,430.48
18.2,452.21
23.5,445.09
10.34,480.84
15.64,466.51
13.55,470.82
26.18,436.51
10.81,482.63
28.09,440
25.32,436.67
29.23,431
9,481.09
17.29,467.23
13.92,465.67
30.15,443.72
23.96,451.11
17.34,458.5
14.02,465.93
29.12,435.51
10.22,477.22
27.74,436.87
16.5,459.06
20.46,445.22
27.51,430.42
13.1,466.08
31.07,436.16
10.79,479.64
22.57,443.58
33.63,430.05
22.56,448.65
20.65,455.5
24.31,442.69
25.61,442.96
9.41,481.59
6.61,483.12
13.53,472.46
10.2,481.46
9.26,480.38
12.02,477.74
14.74,465.49
8.35,484.21
19.35,455.29
26.74,436.02
12.17,463.03
13.91,469.02
16.15,466.56
28.31,436.75
32.87,433.1
29.48,433.53
29.23,437.95
7.71,471.38
26,435.05
31.41,434.88
5.28,479.91
10.19,472.45
10.35,477.8
13.72,467.05
10.96,471.05
19.36,458.75
31.23,439.14
32.77,436.95
23.35,434.6
24.99,441.45
26.53,446.17
18.62,451.94
16.72,458.25
21.07,446.05
31.08,442.88
22.85,452.5
22.99,445.44
11.12,470.82
16.63,458.66
28.85,440.3
29.97,428.42
30.73,426.79
27.17,437.06
30.15,434.75
13.18,472.36
28.44,426.69
34.4,430.87
23.1,451.01
28.08,438.83
30.92,432.35
26.47,433.89
7.97,483.3
30.07,437.55
20.31,446.87
13.65,471.91
24.1,449.79
32.23,426.9
17.69,464.13
5.42,491.38
32.89,426.46
26.59,438.22
28.74,430.12
9,480.31
18.5,455.63
32.21,429.15
18.31,451.75
27.14,441.68
26.22,454.2
22.72,436.7
10.63,474.97
19.39,456.25
26.85,431.24
9.74,465.8
16.34,463.29
18.36,453.5
8.03,481.51
7.34,483.92
28.17,428.88
23.92,441.9
12.17,473.76
29.13,436.9
26.09,444.71
19.08,458.94
20.5,445.35
23,454.44
26.08,434.24
31.27,425.48
25.69,432.82
10.16,477.49
30.49,434.76
28.45,436.96
22.04,447.28
13.18,470.88
31.41,430.81
11.3,471.19
24.22,440.01
16.21,463.09
14.55,454.14
15.04,467.96
22.21,445.77
30.16,434.43
13.34,461.12
21.18,442.51
8.54,478.31
12.2,471.33
13.47,476.67
16.73,468.87
17.99,451.38
20.1,446.7
20.82,449.59
14.28,466.75
15.31,458.26
12.62,471.55
16.1,471.46
14.46,464.5
13.96,460.95
24.54,443.67
31.27,430.32
27.15,433.09
31.21,430.7
9.48,478.66
21.16,446.37
21.87,445.21
15.35,468.94
16.07,458.18
31.2,431.23
27.71,447.06
6.98,484.19
28.54,433.35
10.22,474.32
11.87,474.17
23.21,440.46
25.95,443.93
11.21,479.2
32.45,429.99
19.09,446.34
24.04,442.25
25.1,439.93
27.04,439.84
14.4,464.81
26.6,442.25
5.25,477.78
19.97,446.57
22.23,448.27
8.67,480.38
22.08,455.79
5.56,476.61
11.02,472.11
16.52,466.73
27.54,430.72
15.79,465.64
31.45,430.81
21.8,450.25
23.25,438.51
19.46,452.11
26.86,434.59
25.44,440.09
28.35,427.21
14.81,469.5
6.07,483.56
22.77,437.9
16.31,450.33
30.93,437.35
29.31,442.11
26.05,440.75
25.69,436.36
22.1,442.18
11,475.9
33.26,429.38
11.91,476.71
24.23,443.06
24.35,435.66
26.65,431.47
28.24,438.47
24.79,440.05
24.43,444.71
9.16,484.96
2.64,481.29
11.7,464.12
15.93,457.92
18.41,465.64
18.07,457.53
12.82,464.07
8.25,479.95
16.99,464.95
27.46,435.36
21.11,457.89
14.66,459.23
26.19,433.99
20.89,445.39
25.16,442.03
31.15,431.97
9.63,477.38
14.15,471.23
25.77,429.84
24.46,440.58
26.21,439.55
30.55,440.74
14.13,467.84
3.73,488.58
24.79,446.04
16.57,454.78
26.86,436.25
22.09,447.28
29.12,432.88
14.45,462.16
11.58,478.06
32.55,439.81
31.79,434.01
19.7,444.64
11.22,477.53
21.83,452.21
29.6,429.02
28.07,428.87
10.12,477.73
9.84,477.52
15.41,456.83
22.64,441.99
13.53,471.73
8.94,477.62
23.72,447.49
21.26,446.22
10.23,473.59
7.64,484.45
14.92,465.72
27.62,427.67
10.56,478.02
17.9,451.94
29.41,444.82
17.68,461.96
23.56,443.02
25.01,447.12
29.95,433.13
22.36,453.94
17.36,459.1
10.05,471.68
21.94,449.87
20.15,456.87
7.31,477.38
21.7,448.51
4.86,488.63
15.52,471.97
6.94,480.07
19.11,464.66
16.84,437.14
11.63,474.67
21.24,444
15.47,462.58
29.42,437.75
14.33,469.52
18.75,450.98
12.5,473.26
28.98,434.08
4.41,488.36
16.61,457.66
5.28,485.24
9.83,480.47
14.28,467.44
32.87,433.15
26.82,439.48
30.56,442.24
18.24,449.48
22.18,449.77
8.44,486.15
13.74,466.79
11.02,471.93
19.6,456.57
26.03,449.54
20.71,455.69
21.67,443.82
19.13,456.04
27.79,435.06
6.08,483.08
29.56,432.09
15.84,456.21
30.93,432.25
20.45,452.96
11.1,462.07
17.06,461.15
26.47,441.81
25.03,443.55
8.85,486.4
16.74,463
6.8,477.8
24.26,438.79
17.98,452.57
22.97,437.41
17.99,453.02
29.29,431.26
15.28,463.44
14.16,471.15
25.06,454.13
18.97,466.17
29.04,437.95
19.72,458.59
15.63,457.44
12.19,472.68
16.3,463.47
14.8,470.77
24.63,440.67
12.32,471.6
5.53,479.88
13.11,471.61
25.12,433.4
14.84,454.16
25.24,438.99
12.87,471.48
19.25,451.08
15.11,466.74
29.23,438.05
12.6,475.42
7.91,485.95
23.45,454.92
32.1,431.09
16.25,464.33
23.27,444.86
17.01,460.14
8.76,480.08
27.35,435.14
10.51,474.24
23.56,441.92
29.24,438.24
29.86,433.57
29.1,435.97
11.38,469.9
29.53,440.1
8.48,480.63
24.91,438.29
26.46,448.83
16.61,460.97
11.77,467.31
19.1,455.52
9.19,475.42
13.53,466.71
14.94,462.67
29.05,437.16
15.27,465.99
25.96,444.19
15.75,464.95
23.69,440.21
11.92,472.45
28.54,432
13.72,464.59
6.1,494.43
12.64,465.78
17.14,458.61
25.43,431.53
12.78,461.61
21.17,444.5
31.19,436.6
12.42,466.59
29.62,439.35
16.29,456.28
12.33,476.49
26.8,431.18
13.63,464.62
27.47,443.25
24.47,445.37
13.46,472.5
11.78,472.79
10.42,478.52
4.49,494.24
25.45,439.56
21.29,447.78
22.65,447.01
11.06,476.24
25.56,442.2
24.51,449.73
25.76,433.75
17.85,451.9
13.83,472.95
31.38,430.58
18.39,453.89
17.79,454.4
23.57,441.93
12.03,474.97
26.82,437.42
21.76,446.86
31.23,436.58
9.98,466.05
12.86,472.04
31.49,432.13
9.08,477.26
24.72,438.52
21.49,443.04
25.2,438.15
18.39,449.96
30.58,437.17
30.2,436.17
23.59,447.36
28.61,437.39
14.82,466.34
31.7,441.36
7.69,482.46
21.79,443.01
10.11,463.57
12.25,470.92
21.04,452.12
17.01,458.78
18.03,450.33
30.4,438.43
28.28,445.61
28.6,443.01
11.08,473.32
11.68,473.51
23.54,445.19
14.32,466.36
27.31,440.13
30.06,436.89
18.74,468.84
25.93,433.25
27.71,440.74
20.15,449.84
26.69,436.33
16.26,462.54
29.05,439.14
14.1,461.34
19.7,450.48
8.57,474.29
10.41,472.82
14.55,465.81
31.49,425.74
26.12,439.68
7,484.51
11.15,473.57
14.27,470.98
15.34,459.77
25.16,444.98
11.92,464.9
22.3,453.27
29.42,437.47
12.42,466.05
31.42,425.98
21.9,447.4
29.83,434.28
4.32,488.03
24.22,440.79
27.04,441.21
23.75,436.57
7.67,478.94
9.7,475.77
16.16,461.86
7.48,488.43
5.15,495.35
18.81,450.72
27.88,439.33
13.14,466.95
30.51,436.92
8.73,480.99
13.83,469.57
15.14,469.68
28.69,433.07
12.68,464.93
9.64,483.39
28.69,431.36
12.75,475.09
25.23,438.28
10.17,479.58
10.94,470.9
24.67,455.31
20.77,455.02
23.43,446.88
10.09,463.86
23.69,444.07
26.65,435.9
13.56,466.33
21.22,448.06
19.94,448.67
22.21,446.62
17.53,457.28
7.17,484.33
27.77,430.19
29.29,430.31
14.16,464.91
8.55,481.44
14.12,468.63
5.47,485.7
18.8,453.9
19.69,448.69
21.11,460.33
3.92,487.35
11.67,474.75
14.05,472.19
11.28,475.14
11.48,472.9
17.47,456.41
25.64,441.68
20.6,452.86
21.37,454.66
20.51,461.87
27.28,450.53
29.91,437.63
17.65,452.2
25.77,433.45
9.54,481.18
20.36,452.28
26.89,436.44
13.35,469.34
23.91,439.84
28.29,438.25
14.27,458.19
27.48,452.24
34.03,440.29
10.01,470.82
14.09,469.93
25.18,449.01
8.63,475.79
22.2,445.29
20.58,460.1
17.37,460.97
29.97,430.37
28.53,438.17
14.5,465.32
3.91,488.67
17.51,462.12
13.57,472.04
7.55,485.49
14.22,466.47
15.51,465.85
13.36,471.89
7.73,483.94
4.77,494.91
27.37,433.34
25.02,437.87
6.14,481.66
14.08,466.99
17.37,456.29
26.18,436
21.35,452.83
24.17,440.96
16.61,460.35
15.29,466.27
20.27,446.75
11.33,468.87
27.24,432.36
20.11,464.13
22.5,445.22
22.02,454.9
21.14,440.69
10.9,477.93
20.08,453.54
29.71,427.04
10.94,476.32
23.93,444.95
15.69,465.41
10.48,478.86
27.78,429.62
16.17,454.72
32.39,430.12
24.3,440.56
29.56,432.84
30.01,429.84
16.44,460.33
10.86,473.75
28.18,434.48
18.58,444.28
28.69,439.87
12.35,474.94
32.26,431.96
25.13,447.7
19.22,451.8
32.84,430.88
24.66,445.41
29.08,435.57
24.92,445.44
22.73,437.93
32.16,429.64
24.33,441.2
10.95,477.23
19.93,450.57
26.62,431.93
6.69,482.57
29.18,443.75
25.95,444.19
6.91,488.2
19.97,450.06
14.81,467.32
24.63,446.23
19.68,453.58
27.89,431.59
12.82,471.41
27.2,433.39
23.55,446.44
6.52,486.06
24.01,444.1
22.07,452.56
14.01,469.23
14.5,464.23
10.09,473.66
26.72,442.48
29.44,442.32
24.8,453.56
29.45,432.96
24.37,440.22
14.87,462.03
26.98,434.73
26.02,446.5
21.4,445.09
14.02,465.87
18.28,452.93
19.64,467.53
18.77,458.58
19.24,449.26
25.03,441.58
18.92,453.66
9.81,471.32
4.97,482.98
22.51,453.08
21.75,455.28
26.61,427.61
12.12,462.1
12.48,477.17
20.01,457.01
21.18,451.62
9.68,475.51
22.8,439.65
11.62,477.75
21.81,444.66
8.16,483.17
24.78,436.62
6.25,481.38
22.03,440.92
13.08,472.01
7.79,477
14.77,470.39
23.28,434.21
18.59,459.65
20.46,444.88
24.2,440.66
18.41,453.12
18.77,454.54
16.89,458.25
14.95,462.72
31.97,441.18
5.85,480.59
20.37,445.81
5.52,492.39
22.32,451.21
22.87,442.27
29.19,444.49
6.91,481.88
24.42,439.63
24.35,445.6
19.83,463.72
22.25,443.99
13.93,468.88
9.11,476.62
31.18,431.58
9.53,478.03
7.94,480.38
5.41,479.48
13.83,462.6
13.9,464.17
22.64,446.2
18.72,454.35
28.88,432.93
11.42,490.02
6.02,490.57
10.86,476.87
13.89,470.88
19.38,454.1
8.74,438.63
16.01,457.8
20.68,446.33
15.3,466.59
13.93,470.59
14.91,461.73
7.24,486.76
15.75,464.38
10.12,473.05
20.85,444.44
23.29,444.61
14.59,469.32
29.96,433.13
25.62,444.14
28.62,436.12
23.72,436.62
20.89,442.5
11.82,475.61
3,485.2
29.7,438.04
21.35,452.57
27.2,430.55
22.75,439.91
10.56,479.33
22.43,444.53
10.1,474.28
26.85,438.26
14.02,467.32
21.69,447.06
8.86,478.05
33.12,441.13
12.1,463.11
5.74,482
9.55,481.75
5.89,484.91
17.9,449.73
20.58,453.87
26.38,432.25
27.62,434.72
28.99,442.6
17.72,456.4
28.36,441.08
22.98,437.49
23.25,442.21
28.15,431.28
10.81,473.86
22.68,447.69
9.2,480.38
20.52,453.64
27.92,437.28
25.16,452.64
25.52,440.02
12.09,469.29
30.56,429.2
23.76,441.16
18.75,452.77
12.84,475.59
20.01,454.5
9.66,477.67
26.93,434.1
13.79,469.55
22.82,437.32
20.69,447.58
21.89,444.6
26.45,427.5
28.18,430.55
9.07,484.5
25.38,446.31
11.2,476.87
14.45,459.85
28.84,437.82
18.13,458.53
20.87,445.95
16.32,465.38
25.35,436.29
30.61,439.9
29.76,432.51
16.64,459
16.77,465.52
27.2,436.99
17.32,462.74
25.79,440.04
19.08,451.05
4.84,491.23
26.08,438.61
17.46,451.06
16.41,457.94
10.39,476.49
13.13,472.5
13.67,463.97
7.09,485.04
10.52,469.8
21.26,446.08
5.79,480.97
8.42,476.29
24.78,448.43
23.58,435.47
28.08,434
4.95,485.67
24.19,446.3
9.88,481.58
29.29,428.73
4.04,486.86
7.38,485.73
10.58,474.91
27.02,437.8
6.4,486.03
10.46,481.47
30.61,429.8
29.83,426.98
31.77,431.69
8.35,474.79
31.75,430.82
5,485.27
25.26,433.49
6.1,491.37
7.24,486.76
10.52,469.03
15.66,463.57
10.41,474.2
21.08,449.6
23.59,448.09
21.53,447.93
10.67,482.36
14.31,463.54
28.74,431.93
29.15,430.54
18.85,456.72
6.93,479.06
24.27,434.24
13.35,474.57
10.8,478.8
22,450.18
7.67,485.03
4.62,486.84
12.59,470.18
23.49,442.76
19.83,449.45
29.26,435.32
9.78,480.59
16,466.01
18.76,452.5
19.82,449.61
21.7,446.46
27.28,431.27
22.56,440.81
30.72,430.46
21.87,451.97
8.85,482.3
11.58,469.6
25.66,446.05
14.16,473.22
7.92,481.44
24.42,443.94
30.18,436.92
21.85,447.31
30.56,430.85
7.78,488.54
13.21,463.1
20.25,448.93
14.39,463.65
21.92,443.31
30.67,430.28
23.6,446.05
10.62,472.41
9.79,471.61
13.69,469.12
24.11,437.21
20.68,464.14
26.3,442.28
25.7,437.04
19.46,466.24
11.49,476.74
33.17,430.14
13.46,467.4
27.34,438.73
24.2,442.78
